# Spherical Bessel functions via up and down recursion
# x    d_rec    u_rec    gsl    relerr_ud   relerr_dg
1.170262 -1.87448001e+00 -1.87448001e+00 -1.87448001e+00 -1.50733764e+01 -1.47723464e+01
1.173186 -2.11891266e+00 -2.11891266e+00 -2.11891266e+00 -1.47387671e+01 -1.62439171e+01
1.176091 -2.72193748e+00 -2.72193748e+00 -2.72193748e+00 -1.43238742e+01 -1.42517262e+01
1.178977             nan             nan             nan -1.48223150e+01 -1.44311084e+01
1.181844             nan             nan             nan -1.57289275e+01 -1.45985938e+01
1.184691             nan             nan             nan -1.50536266e+01 -1.51883252e+01
1.187521             nan             nan             nan -1.52836405e+01 -1.52166937e+01
1.190332             nan             nan             nan -1.56833957e+01 -1.54615470e+01
1.193125             nan             nan             nan -1.45220064e+01 -1.57608885e+01
1.195900             nan             nan             nan -1.37165968e+01 -1.53978380e+01
1.198657             nan             nan             nan -1.48759854e+01 -1.57510466e+01
1.201397             nan             nan             nan -1.54938612e+01 -1.53969512e+01
1.204120             nan             nan             nan -1.51330349e+01 -1.61330349e+01
1.206826             nan             nan             nan -1.52102915e+01            -inf
1.209515             nan             nan             nan -1.52881322e+01 -1.51912222e+01
1.212188             nan             nan             nan -1.57365705e+01 -1.62136917e+01
1.214844             nan             nan             nan -1.54542351e+01 -1.62323864e+01
1.217484             nan             nan             nan            -inf -1.59466114e+01
1.220108             nan             nan             nan -1.59586803e+01 -1.59586803e+01
1.222716             nan             nan             nan -1.59677526e+01            -inf
1.225309             nan             nan             nan            -inf -1.56729362e+01
1.227887             nan             nan             nan            -inf -1.59774155e+01
1.230449             nan             nan             nan -1.59781569e+01 -1.59781569e+01
1.232996             nan             nan             nan -1.59762117e+01 -1.59762117e+01
1.235528             nan             nan             nan            -inf            -inf
1.238046             nan             nan             nan -1.59641803e+01            -inf
1.240549             nan             nan             nan            -inf -1.59539663e+01
1.243038             nan             nan             nan -1.62418341e+01 -1.62418341e+01
1.245513             nan             nan             nan -1.59245254e+01 -1.59245254e+01
1.247973             nan             nan             nan            -inf            -inf
1.250420             nan             nan             nan -1.58816485e+01 -1.58816485e+01
1.252853             nan             nan             nan -1.58543678e+01 -1.61553978e+01
1.255273             nan             nan             nan -1.61235831e+01 -1.61235831e+01
1.257679             nan             nan             nan            -inf -1.56094321e+01
1.260071             nan             nan             nan -1.60433803e+01 -1.55662591e+01
1.262451             nan             nan             nan            -inf -1.51476651e+01
1.264818             nan             nan             nan            -inf -1.49328089e+01
1.267172             nan             nan             nan            -inf -1.49855581e+01
1.269513             nan             nan             nan -1.60724679e+01 -1.52943167e+01
1.271842             nan             nan             nan -1.56566335e+01 -1.53556035e+01
1.274158             nan             nan             nan -1.52548464e+01 -1.51968545e+01
1.276462             nan             nan             nan -1.47847449e+01 -1.50325294e+01
1.278754             nan             nan             nan -1.36758425e+01 -1.41788443e+01
1.281033 -2.45018500e+00 -2.45018500e+00 -2.45018500e+00 -1.44283449e+01 -1.48334635e+01
1.283301 -2.08288635e+00 -2.08288635e+00 -2.08288635e+00 -1.49789134e+01 -1.50246709e+01
1.285557 -1.89035632e+00 -1.89035632e+00 -1.89035632e+00 -1.53263454e+01 -1.50253154e+01
1.287802 -1.76086100e+00 -1.76086100e+00 -1.76086100e+00            -inf -1.50456662e+01
1.290035 -1.66459584e+00 -1.66459584e+00 -1.66459584e+00 -1.60961739e+01 -1.52510759e+01
1.292256 -1.58915294e+00 -1.58915294e+00 -1.58915294e+00 -1.55695568e+01 -1.48493975e+01
1.294466 -1.52817321e+00 -1.52817321e+00 -1.52817321e+00            -inf -1.59315665e+01
1.296665 -1.47796749e+00 -1.47796749e+00 -1.47796749e+00 -1.59817723e+01 -1.56807423e+01
1.298853 -1.43621184e+00 -1.43621184e+00 -1.43621184e+00 -1.60235279e+01 -1.60235279e+01
1.301030 -1.40135503e+00 -1.40135503e+00 -1.40135503e+00 -1.60583847e+01 -1.60583847e+01
1.303196 -1.37231758e+00 -1.37231758e+00 -1.37231758e+00            -inf            -inf
1.305351 -1.34832581e+00 -1.34832581e+00 -1.34832581e+00 -1.58103839e+01 -1.61114139e+01
1.307496 -1.32881430e+00 -1.32881430e+00 -1.32881430e+00            -inf -1.58298955e+01
1.309630 -1.31336590e+00 -1.31336590e+00 -1.31336590e+00 -1.56692526e+01 -1.58453439e+01
1.311754 -1.30167344e+00 -1.30167344e+00 -1.30167344e+00            -inf -1.61580663e+01
1.313867 -1.29351480e+00 -1.29351480e+00 -1.29351480e+00 -1.58651950e+01 -1.56891037e+01
1.315970 -1.28873649e+00 -1.28873649e+00 -1.28873649e+00 -1.61710033e+01 -1.56938820e+01
1.318063 -1.28724317e+00 -1.28724317e+00 -1.28724317e+00 -1.54735266e+01            -inf
1.320146 -1.28899143e+00 -1.28899143e+00 -1.28899143e+00            -inf            -inf
1.322219 -1.29398693e+00 -1.29398693e+00 -1.29398693e+00            -inf -1.58647228e+01
1.324282 -1.30228457e+00 -1.30228457e+00 -1.30228457e+00            -inf -1.56803339e+01
1.326336 -1.31399175e+00 -1.31399175e+00 -1.31399175e+00 -1.56686267e+01 -1.58447180e+01
1.328380 -1.32927502e+00 -1.32927502e+00 -1.32927502e+00 -1.58294347e+01 -1.53523135e+01
1.330414 -1.34837122e+00 -1.34837122e+00 -1.34837122e+00 -1.61113685e+01 -1.56342473e+01
1.332438 -1.37160468e+00 -1.37160468e+00 -1.37160468e+00 -1.60881351e+01 -1.52430370e+01
1.334454 -1.39941344e+00 -1.39941344e+00 -1.39941344e+00 -1.57592963e+01 -1.60603263e+01
1.336460 -1.43238949e+00 -1.43238949e+00 -1.43238949e+00 -1.57263203e+01 -1.51822522e+01
1.338456 -1.47134218e+00 -1.47134218e+00 -1.47134218e+00 -1.52894276e+01 -1.59883976e+01
1.340444 -1.51740150e+00 -1.51740150e+00 -1.51740150e+00 -1.49423382e+01 -1.52019756e+01
1.342423 -1.57219523e+00 -1.57219523e+00 -1.57219523e+00 -1.39817486e+01 -1.57114533e+01
1.344392 -1.63817265e+00 -1.63817265e+00 -1.63817265e+00 -1.53444458e+01 -1.55205371e+01
1.346353 -1.71924882e+00 -1.71924882e+00 -1.71924882e+00 -1.55643997e+01 -1.52633697e+01
1.348305 -1.82224560e+00 -1.82224560e+00 -1.82224560e+00 -1.45863416e+01 -1.54614029e+01
1.350248 -1.96071125e+00 -1.96071125e+00 -1.96071125e+00 -1.52559905e+01 -1.49549605e+01
1.352183 -2.16828090e+00 -2.16828090e+00 -2.16828090e+00 -1.44785455e+01 -1.49392763e+01
1.354108 -2.58295838e+00 -2.58295838e+00 -2.58295838e+00 -1.50809014e+01 -1.54788414e+01
1.356026             nan             nan             nan -1.45631515e+01 -1.37813041e+01
